INFO:root:Starting crawling
DEBUG|2017-09-14 12:52:46,062|Folder oldstable-proposed-updates
DEBUG|2017-09-14 12:52:46,083|Folder oldstable-updates
DEBUG|2017-09-14 12:52:46,103|Folder proposed-updates
DEBUG|2017-09-14 12:52:46,132|Folder rc-buggy
DEBUG|2017-09-14 12:52:46,151|Folder sid
DEBUG|2017-09-14 12:52:46,171|Folder stable
DEBUG|2017-09-14 12:52:46,191|Folder stable-backports
DEBUG|2017-09-14 12:52:46,213|Folder stable-proposed-updates
DEBUG|2017-09-14 12:52:46,233|Folder stable-updates
DEBUG|2017-09-14 12:52:46,253|Folder stretch
DEBUG|2017-09-14 12:52:46,278|Folder stretch-backports
DEBUG|2017-09-14 12:52:46,298|Folder stretch-proposed-updates
DEBUG|2017-09-14 12:52:46,321|Folder stretch-updates
DEBUG|2017-09-14 12:52:46,341|Folder testing
DEBUG|2017-09-14 12:52:46,363|Folder testing-proposed-updates
DEBUG|2017-09-14 12:52:46,391|Folder testing-updates
DEBUG|2017-09-14 12:52:46,418|Folder unstable
DEBUG|2017-09-14 12:52:46,448|Folder wheezy
DEBUG|2017-09-14 12:52:46,472|Folder wheezy-backports
DEBUG|2017-09-14 12:52:46,492|Folder wheezy-backports-sloppy
DEBUG|2017-09-14 12:52:46,511|Folder wheezy-proposed-updates
DEBUG|2017-09-14 12:52:46,531|Folder wheezy-updates
DEBUG|2017-09-14 12:52:46,531|Entering folder 	Debian7.11
DEBUG|2017-09-14 12:52:46,666|File ChangeLog
DEBUG|2017-09-14 12:52:46,688|File Contents-amd64.gz
DEBUG|2017-09-14 12:52:46,713|File Contents-armel.gz
DEBUG|2017-09-14 12:52:46,738|File Contents-armhf.gz
DEBUG|2017-09-14 12:52:46,758|File Contents-i386.gz
DEBUG|2017-09-14 12:52:46,778|File Contents-ia64.gz
DEBUG|2017-09-14 12:52:46,801|File Contents-kfreebsd-amd64.gz
DEBUG|2017-09-14 12:52:46,823|File Contents-kfreebsd-i386.gz
DEBUG|2017-09-14 12:52:46,843|File Contents-mips.gz
DEBUG|2017-09-14 12:52:46,863|File Contents-mipsel.gz
DEBUG|2017-09-14 12:52:46,883|File Contents-powerpc.gz
DEBUG|2017-09-14 12:52:46,903|File Contents-s390.gz
DEBUG|2017-09-14 12:52:46,923|File Contents-s390x.gz
DEBUG|2017-09-14 12:52:46,943|File Contents-sparc.gz
DEBUG|2017-09-14 12:52:46,964|File Release
DEBUG|2017-09-14 12:52:46,989|File Release.gpg
DEBUG|2017-09-14 12:52:47,008|Folder contrib
DEBUG|2017-09-14 12:52:47,031|Folder main
DEBUG|2017-09-14 12:52:47,053|Folder non-free
DEBUG|2017-09-14 12:52:47,053|Entering folder 	contrib
DEBUG|2017-09-14 12:52:47,195|File Contents-amd64.gz
DEBUG|2017-09-14 12:52:47,219|File Contents-armel.gz
DEBUG|2017-09-14 12:52:47,241|File Contents-armhf.gz
DEBUG|2017-09-14 12:52:47,261|File Contents-i386.gz
DEBUG|2017-09-14 12:52:47,283|File Contents-ia64.gz
DEBUG|2017-09-14 12:52:47,303|File Contents-kfreebsd-amd64.gz
DEBUG|2017-09-14 12:52:47,323|File Contents-kfreebsd-i386.gz
DEBUG|2017-09-14 12:52:47,348|File Contents-mips.gz
DEBUG|2017-09-14 12:52:47,368|File Contents-mipsel.gz
DEBUG|2017-09-14 12:52:47,388|File Contents-powerpc.gz
DEBUG|2017-09-14 12:52:47,409|File Contents-s390.gz
DEBUG|2017-09-14 12:52:47,429|File Contents-s390x.gz
